,height
1507,118.1
1508,123.4
1509,123.4
1510,124.2
1511,125.0
1512,127.6
1513,126.5
1514,121.7
1515,123.0
1516,119.1
1517,116.9
1518,124.5
1519,124.5
1520,122.9
1521,116.2
1522,116.6
1523,121.6
1524,124.3
1525,138.5
1526,138.5
1527,130.2
1528,130.6
1529,126.2
1530,130.2
1531,127.9
1532,122.6
1533,122.7
1534,128.8
1535,131.1
1536,117.6
1537,123.7
1538,131.7
1539,131.2
1540,131.0
1541,130.8
1542,130.0
1543,122.3
1544,126.9
1545,128.6
1546,133.7
1547,128.0
1548,138.6
1549,138.4
1550,139.1
1551,138.8
1552,149.3
1553,133.9
1554,141.2
1555,128.5
1556,136.2
1557,135.9
1558,139.9
1559,125.4
1560,144.2
1561,134.0
1562,138.6
1563,134.3
1564,140.5
1565,131.7
1566,123.7
1567,128.1
1568,134.1
1569,137.3
1570,144.8
1571,136.4
1572,148.8
1573,146.7
1574,136.4
1575,137.8
1576,130.5
1577,139.6
1578,142.2
1579,130.8
1580,158.8
1581,142.8
1582,130.0
1583,145.7
1584,142.6
1585,143.1
1586,137.6
1587,122.7
1588,140.9
1589,137.9
1590,142.2
1591,147.3
1592,149.7
1593,141.7
1594,140.3
1595,137.8
1596,148.9
1597,145.6
1598,142.8
1599,151.5
1600,145.4
1601,134.5
1602,139.3
1603,141.0
1604,139.9
1605,159.8
1606,141.7
1607,160.5
1608,146.8
1609,152.0
1610,153.0
1611,149.4
1612,146.6
1613,160.5
1614,152.0
1615,159.5
1616,146.1
1617,157.1
1618,152.9
1619,149.6
1620,141.9
1621,143.0
1622,126.6
1623,125.6
1624,123.8
1625,116.4
1626,120.9
1627,112.0
1628,118.3
1629,119.9
1630,127.7
1631,119.6
1632,121.3
1633,124.5
1634,124.5
1635,117.4
1636,107.8
1637,126.4
1638,123.0
1639,129.0
1640,115.8
1641,124.7
1642,122.9
1643,116.0
1644,118.2
1645,121.0
1646,121.8
1647,127.0
1648,124.9
1649,126.7
1650,128.0
1651,159.0
1652,121.5
1653,130.4
1654,121.5
1655,122.7
1656,134.6
1657,127.5
1658,127.0
1659,127.5
1660,122.8
1661,126.0
1662,122.3
1663,123.3
1664,132.7
1665,128.2
1666,120.5
1667,130.9
1668,128.1
1669,128.4
1670,126.7
1671,130.1
1672,133.7
1673,138.0
1674,134.2
1675,127.1
1676,141.5
1677,129.1
1678,138.5
1679,137.2
1680,138.7
1681,137.3
1682,141.0
1683,126.8
1684,133.7
1685,131.5
1686,127.4
1687,136.8
1688,127.6
1689,133.9
1690,130.8
1691,141.5
1692,140.4
1693,142.9
1694,145.0
1695,135.5
1696,134.3
1697,134.7
1698,138.1
1699,148.9
1700,141.6
1701,138.4
1702,145.9
1703,139.7
1704,129.1
1705,143.6
1706,146.3
1707,133.2
1708,138.5
1709,133.6
1710,135.0
1711,132.7
1712,133.6
1713,137.9
1714,144.0
1715,154.9
1716,139.8
1717,145.9
1718,133.3
1719,148.6
1720,143.9
1721,137.8
1722,162.0
1723,136.1
1724,148.9
1725,155.1
1726,152.9
1727,135.1
1728,136.1
1729,145.9
1730,142.4
1731,150.3
1732,157.2
1733,157.6
1734,146.4
