,height
1840,121.9
1841,125.7
1842,128.9
1843,131.3
1844,118.9
1845,134.7
1846,121.1
1847,139.4
1848,130.9
1849,126.7
1850,136.0
1851,130.3
1852,132.0
1853,124.8
1854,127.3
1855,130.9
1856,140.2
1857,136.5
1858,139.6
1859,136.0
1860,138.0
1861,125.6
1862,132.0
1863,127.9
1864,137.1
1865,139.4
1866,135.4
1867,130.3
1868,141.1
1869,146.3
1870,139.2
1871,135.3
1872,133.2
1873,138.0
1874,140.5
1875,132.0
1876,146.2
1877,136.3
1878,135.0
1879,144.3
1880,135.0
1881,139.0
1882,143.0
1883,135.0
1884,136.0
1885,139.0
1886,139.8
1887,139.4
1888,139.1
1889,132.0
1890,150.2
1891,131.0
1892,145.1
1893,141.4
1894,148.8
1895,137.7
1896,145.6
1897,149.8
1898,143.4
1899,152.0
1900,141.6
1901,150.5
1902,158.1
1903,140.7
1904,141.1
1905,149.1
1906,143.8
1907,147.7
1908,137.3
1909,149.6
1910,141.2
1911,139.4
1912,148.8
1913,145.6
1914,161.5
1915,144.0
1916,156.0
1917,146.2
1918,135.3
1919,147.5
1920,155.9
1921,159.9
1922,154.9
1923,145.5
1924,140.8
1925,157.7
1926,153.1
1927,152.9
1928,157.7
1929,151.9
1930,154.8
1931,146.3
1932,154.9
1933,155.0
1934,157.8
1935,167.2
1936,147.7
1937,152.7
1938,156.0
1939,123.0
1940,125.0
1941,124.1
1942,112.3
1943,118.0
1944,130.8
1945,121.2
1946,122.6
1947,122.0
1948,125.0
1949,128.0
1950,121.0
1951,124.0
1952,124.0
1953,107.0
1954,115.0
1955,117.0
1956,123.0
1957,125.0
1958,119.0
1959,118.0
1960,120.0
1961,127.3
1962,135.8
1963,122.4
1964,131.6
1965,125.5
1966,124.1
1967,125.6
1968,132.4
1969,138.5
1970,133.3
1971,131.1
1972,129.5
1973,119.0
1974,129.5
1975,131.5
1976,127.6
1977,129.1
1978,135.2
1979,119.9
1980,124.9
1981,132.6
1982,124.5
1983,122.0
1984,130.2
1985,132.0
1986,131.4
1987,118.5
1988,124.8
1989,127.7
1990,133.0
1991,137.9
1992,131.8
1993,141.2
1994,147.1
1995,136.8
1996,119.0
1997,128.0
1998,133.7
1999,137.0
2000,126.0
2001,130.5
2002,132.2
2003,133.2
2004,126.5
2005,127.0
2006,128.0
2007,143.1
2008,141.0
2009,136.0
2010,135.0
2011,134.0
2012,135.2
2013,140.1
2014,133.0
2015,135.4
2016,134.5
2017,144.0
2018,132.1
2019,143.0
2020,134.4
2021,141.0
2022,145.5
2023,139.4
2024,128.7
2025,143.0
2026,136.4
2027,141.3
2028,148.2
2029,130.2
2030,145.7
2031,131.9
2032,135.1
2033,146.2
2034,152.2
2035,149.9
2036,156.1
2037,153.3
2038,142.8
2039,150.7
2040,140.9
2041,149.3
2042,139.4
2043,141.5
2044,139.0
2045,142.3
2046,152.3
2047,145.8
2048,152.8
2049,151.0
2050,154.5
2051,147.6
2052,145.3
2053,147.8
2054,150.1
2055,156.3
2056,165.6
2057,162.1
2058,162.9
2059,146.8
2060,161.2
2061,144.2
2062,153.3
2063,159.6
2064,151.3
2065,146.6
2066,154.7
2067,151.1
2068,151.4
2069,153.4
2070,157.1
2071,146.0
2072,158.9
2073,128.1
2074,129.2
2075,113.7
2076,119.9
2077,122.3
2078,125.8
2079,120.9
2080,117.4
2081,123.4
2082,120.9
2083,120.1
2084,114.7
2085,133.0
2086,116.6
2087,119.2
2088,120.4
2089,124.5
2090,112.4
2091,123.5
2092,120.4
2093,122.0
2094,120.2
2095,134.4
